xflr5 v6.61

Rev 6
T1-12.1 m/s-VLM2-9.1kg-x-0.1m
QInf  =   12.120000 m/s
Alpha =   -7.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.016140
Cy    =    0.000000
Cd    =    0.019784     ICd   =    0.001857     PCd   =    0.017927
Cl   = -1.80217e-15
Cm   =    0.249301
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    4.079263     YCP   =   -0.000000     ZCP   =    2.278465  
XNP   =    0.000000
Bending =    6.745672

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.7382     0.1250     2.990   -0.278992    0.013448    0.014572    2.479919   -0.013635     1.0000    0.9126    0.2010   -0.0001
   -0.7232     0.1250     2.786   -0.392632    0.012885    0.019108    3.467919   -0.014953     1.0000    0.7734    0.2118   -0.0007
   -0.7011     0.1250     2.524   -0.492446    0.013847    0.021708    4.344745   -0.013426     1.0000    0.5304    0.2227   -0.0035
   -0.6723     0.1250     2.231   -0.575240    0.016933    0.022408    5.083562   -0.010659     1.0000    0.2379    0.2314   -0.0111
   -0.6375     0.1250     1.939   -0.641053    0.020799    0.021705    5.677556   -0.007906     1.0000    0.1330    0.2376   -0.0276
   -0.5973     0.1250     1.676   -0.691868    0.023908    0.020239    6.136809   -0.005706     1.0000    0.1033    0.2417   -0.0576
   -0.5525     0.1250     1.453   -0.730425    0.026561    0.018521    6.486480   -0.004118     1.0000    0.0895    0.2443   -0.1058
   -0.5041     0.1250     1.272   -0.759405    0.028852    0.016858    6.750490   -0.003022     1.0000    0.0821    0.2460   -0.1765
   -0.4531     0.1250     1.129   -0.781072    0.030760    0.015392    6.948666   -0.002276     1.0000    0.0783    0.2470   -0.2729
   -0.4004     0.1250     1.018   -0.797209    0.032734    0.014169    7.098620   -0.001770     1.0000    0.0755    0.2477   -0.3965
   -0.3472     0.1250     0.934   -0.809166    0.034604    0.013187    7.211478   -0.001425     1.0000    0.0734    0.2482   -0.5467
   -0.2946     0.1250     0.870   -0.817949    0.035978    0.012423    7.294364   -0.001189     1.0000    0.0720    0.2485   -0.7209
   -0.2435     0.1250     0.823   -0.824308    0.036981    0.011847    7.354406   -0.001029     1.0000    0.0708    0.2487   -0.9142
   -0.1951     0.1250     0.790   -0.828808    0.037847    0.011426    7.397562   -0.000920     1.0000    0.0698    0.2489   -1.1199
   -0.1504     0.1250     0.767   -0.831882    0.038442    0.011133    7.427068   -0.000848     1.0000    0.0691    0.2489   -1.3296
   -0.1102     0.1250     0.752   -0.833877    0.038830    0.010941    7.446210   -0.000802     1.0000    0.0686    0.2490   -1.5341
   -0.0753     0.1250     0.743   -0.835075    0.039062    0.010824    7.457711   -0.000775     1.0000    0.0683    0.2490   -1.7237
   -0.0466     0.1250     0.738   -0.835716    0.039187    0.010761    7.463866   -0.000761     1.0000    0.0682    0.2491   -1.8888
   -0.0245     0.1250     0.736   -0.836002    0.039242    0.010734    7.466603   -0.000754     1.0000    0.0681    0.2491   -2.0209
   -0.0095     0.1250     0.735   -0.836092    0.039260    0.010724    7.467474   -0.000752     1.0000    0.0681    0.2491   -2.1132
   -0.0019     0.1250     0.735   -0.836105    0.039262    0.010723    7.467596   -0.000752     1.0000    0.0681    0.2491   -2.1606
    0.0019     0.1250     0.735   -0.836105    0.039262    0.010723    7.467596   -0.000752     1.0000    0.0681    0.2491   -2.1606
    0.0095     0.1250     0.735   -0.836092    0.039260    0.010724    7.467474   -0.000752     1.0000    0.0681    0.2491   -2.1132
    0.0245     0.1250     0.736   -0.836002    0.039242    0.010734    7.466603   -0.000754     1.0000    0.0681    0.2491   -2.0209
    0.0466     0.1250     0.738   -0.835716    0.039187    0.010761    7.463866   -0.000761     1.0000    0.0682    0.2491   -1.8888
    0.0753     0.1250     0.743   -0.835075    0.039062    0.010824    7.457711   -0.000775     1.0000    0.0683    0.2490   -1.7237
    0.1102     0.1250     0.752   -0.833877    0.038830    0.010941    7.446210   -0.000802     1.0000    0.0686    0.2490   -1.5341
    0.1504     0.1250     0.767   -0.831882    0.038442    0.011133    7.427068   -0.000848     1.0000    0.0691    0.2489   -1.3296
    0.1951     0.1250     0.790   -0.828808    0.037847    0.011426    7.397562   -0.000920     1.0000    0.0698    0.2489   -1.1199
    0.2435     0.1250     0.823   -0.824308    0.036981    0.011847    7.354406   -0.001029     1.0000    0.0708    0.2487   -0.9142
    0.2946     0.1250     0.870   -0.817949    0.035978    0.012423    7.294364   -0.001189     1.0000    0.0720    0.2485   -0.7209
    0.3472     0.1250     0.934   -0.809166    0.034604    0.013187    7.211478   -0.001425     1.0000    0.0734    0.2482   -0.5467
    0.4004     0.1250     1.018   -0.797209    0.032734    0.014169    7.098620   -0.001770     1.0000    0.0755    0.2477   -0.3965
    0.4531     0.1250     1.129   -0.781072    0.030760    0.015392    6.948666   -0.002276     1.0000    0.0783    0.2470   -0.2729
    0.5041     0.1250     1.272   -0.759405    0.028852    0.016858    6.750490   -0.003022     1.0000    0.0821    0.2460   -0.1765
    0.5525     0.1250     1.453   -0.730425    0.026561    0.018521    6.486480   -0.004118     1.0000    0.0895    0.2443   -0.1058
    0.5973     0.1250     1.676   -0.691868    0.023908    0.020239    6.136809   -0.005706     1.0000    0.1033    0.2417   -0.0576
    0.6375     0.1250     1.939   -0.641053    0.020799    0.021705    5.677556   -0.007906     1.0000    0.1330    0.2376   -0.0276
    0.6723     0.1250     2.231   -0.575240    0.016933    0.022408    5.083562   -0.010659     1.0000    0.2379    0.2314   -0.0111
    0.7011     0.1250     2.524   -0.492446    0.013847    0.021708    4.344745   -0.013426     1.0000    0.5304    0.2227   -0.0035
