xflr5 v6.61

Rev 6
T1-12.1 m/s-VLM2-9.1kg-x-0.1m
QInf  =   12.120000 m/s
Alpha =    4.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.283901
Cy    =   -0.000000
Cd    =    0.051101     ICd   =    0.022148     PCd   =    0.028954
Cl   = -1.31251e-13
Cm   =    -1.04922
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.093205     YCP   =    0.000000     ZCP   =    0.029951  
XNP   =    0.000000
Bending =  109.061761

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.7382     0.1250    -1.204    0.032695    0.013623    0.000687   -0.272623    0.001051     0.9916    1.0000    0.2179    0.0000
   -0.7232     0.1250    -1.177    0.045889    0.013701    0.000943   -0.396457    0.001050     0.9888    1.0000    0.2271    0.0001
   -0.7011     0.1250    -1.145    0.057356    0.013768    0.001146   -0.504359    0.000778     0.9864    1.0000    0.2364    0.0004
   -0.6723     0.1250    -1.109    0.066751    0.013823    0.001292   -0.592910    0.000403     0.9844    1.0000    0.2439    0.0013
   -0.6375     0.1250    -1.073    0.074122    0.013866    0.001389   -0.662446    0.000053     0.9829    1.0000    0.2493    0.0032
   -0.5973     0.1250    -1.042    0.079752    0.013881    0.001450   -0.715607   -0.000219     0.9816    1.0000    0.2527    0.0067
   -0.5525     0.1250    -1.015    0.084005    0.013878    0.001488   -0.755781   -0.000413     0.9806    1.0000    0.2549    0.0123
   -0.5041     0.1250    -0.993    0.087222    0.013876    0.001511   -0.786154   -0.000545     0.9798    1.0000    0.2562    0.0205
   -0.4531     0.1250    -0.975    0.089676    0.013875    0.001526   -0.809320   -0.000632     0.9792    1.0000    0.2570    0.0316
   -0.4004     0.1250    -0.961    0.091568    0.013874    0.001536   -0.827166   -0.000690     0.9787    1.0000    0.2575    0.0458
   -0.3472     0.1250    -0.950    0.093034    0.013873    0.001543   -0.840982   -0.000729     0.9784    1.0000    0.2578    0.0632
   -0.2946     0.1250    -0.941    0.094164    0.013872    0.001547   -0.851629   -0.000754     0.9781    1.0000    0.2580    0.0832
   -0.2435     0.1250    -0.935    0.095020    0.013872    0.001551   -0.859701   -0.000771     0.9779    1.0000    0.2581    0.1055
   -0.1951     0.1250    -0.930    0.095652    0.013872    0.001553   -0.865647   -0.000782     0.9777    1.0000    0.2581    0.1292
   -0.1504     0.1250    -0.927    0.096097    0.013871    0.001555   -0.869842   -0.000789     0.9776    1.0000    0.2582    0.1534
   -0.1102     0.1250    -0.925    0.096393    0.013871    0.001556   -0.872628   -0.000794     0.9775    1.0000    0.2582    0.1769
   -0.0753     0.1250    -0.923    0.096573    0.013871    0.001556   -0.874328   -0.000796     0.9775    1.0000    0.2582    0.1988
   -0.0466     0.1250    -0.923    0.096671    0.013871    0.001557   -0.875247   -0.000798     0.9775    1.0000    0.2582    0.2178
